FECHA (YYMMDD);HORA (HHMM);;
140101;0100;15,875;
140101;0200;15,0333;
140101;0300;14,4833;
140101;0400;13,975;
140101;0500;13,2833;
140101;0600;12,8;
140101;0700;14,5083;
140101;0800;17,775;
140101;0900;19,8083;
140101;1000;22,5667;
140101;1100;25;
140101;1200;26,3417;
140101;1300;27,5833;
140101;1400;28,3;
140101;1500;29,2;
140101;1600;29,175;
140101;1700;28,55;
140101;1800;27,4833;
140101;1900;25,825;
140101;2000;23,2083;
140101;2100;21,175;
140101;2200;20,0667;
140101;2300;18,1917;
140102;0000;16,8417;
140102;0100;15,775;
140102;0200;15,0833;
140102;0300;14,5;
140102;0400;13,1167;
140102;0500;13,2167;
140102;0600;12,8833;
140102;0700;12,875;
140102;0800;15,3667;
140102;0900;18,0417;
140102;1000;20,7083;
140102;1100;23,6833;
140102;1200;25,1583;
140102;1300;26,5167;
140102;1400;27,4083;
140102;1500;28,0167;
140102;1600;28,05;
140102;1700;27,975;
140102;1800;27,5167;
140102;1900;26,4667;
140102;2000;24,6583;
140102;2100;22,25;
140102;2200;20,8833;
140102;2300;19,25;
140103;0000;17,7833;
140103;0100;17,1417;
140103;0200;16,275;
140103;0300;15,1417;
140103;0400;14,4417;
140103;0500;13,9417;
140103;0600;13,375;
140103;0700;16,0583;
140103;0800;19,275;
140103;0900;21,35;
140103;1000;23,7416;
140103;1100;26,1917;
140103;1200;28,4167;
140103;1300;30,1583;
140103;1400;31,6833;
140103;1500;32,1583;
140103;1600;32,6916;
140103;1700;32,8333;
140103;1800;32,425;
140103;1900;30,8667;
140103;2000;28,4083;
140103;2100;26,175;
140103;2200;24,675;
140103;2300;22,2333;
140104;0000;20,5833;
140104;0100;19,325;
140104;0200;18,425;
140104;0300;17,575;
140104;0400;17,1583;
140104;0500;16,2083;
140104;0600;15,3167;
140104;0700;18,6083;
140104;0800;22,65;
140104;0900;25,8417;
140104;1000;28,4083;
140104;1100;31,425;
140104;1200;32,1833;
140104;1300;33,425;
140104;1400;33,9417;
140104;1500;33,0583;
140104;1600;32,9417;
140104;1700;32,5333;
140104;1800;31,5083;
140104;1900;29,6;
140104;2000;27,0167;
140104;2100;24,4667;
140104;2200;22,75;
140104;2300;21,9333;
140105;0000;21,2583;
140105;0100;20,125;
140105;0200;19,2417;
140105;0300;18,5167;
140105;0400;17,8333;
140105;0500;17,2;
140105;0600;16,9833;
140105;0700;17,8583;
140105;0800;20,3167;
140105;0900;21,8333;
140105;1000;23,6917;
140105;1100;25,1417;
140105;1200;26,8;
140105;1300;28,2667;
140105;1400;29,4417;
140105;1500;29,9917;
140105;1600;30,275;
140105;1700;29,95;
140105;1800;29;
140105;1900;27,275;
140105;2000;24,425;
140105;2100;22,0417;
140105;2200;20,7417;
140105;2300;19,8583;
140106;0000;19,1917;
140106;0100;18,575;
140106;0200;17,4917;
140106;0300;16,9417;
140106;0400;16,8333;
140106;0500;16,15;
140106;0600;15,5417;
140106;0700;16,9583;
140106;0800;20,7083;
140106;0900;23,35;
140106;1000;26,8417;
140106;1100;28,2083;
140106;1200;29,925;
140106;1300;31,375;
140106;1400;32,7583;
140106;1500;33,375;
140106;1600;33,3916;
140106;1700;32,7416;
140106;1800;31,3583;
140106;1900;29,85;
140106;2000;27,9167;
140106;2100;25,3917;
140106;2200;23,4417;
140106;2300;22,0667;
140107;0000;20,85;
140107;0100;19,6083;
140107;0200;18,6083;
140107;0300;17,7083;
140107;0400;17,1583;
140107;0500;16,6833;
140107;0600;15,9083;
140107;0700;18,675;
140107;0800;21,875;
140107;0900;25,2083;
140107;1000;28,2583;
140107;1100;30,4333;
140107;1200;31,6417;
140107;1300;33,0666;
140107;1400;34,3166;
140107;1500;34,8916;
140107;1600;34,775;
140107;1700;34,2666;
140107;1800;33,225;
140107;1900;31,6417;
140107;2000;29,5083;
140107;2100;27,0833;
140107;2200;24,8417;
140107;2300;23,275;
140108;0000;21,975;
140108;0100;20,175;
140108;0200;18,9417;
140108;0300;18,1417;
140108;0400;17,8333;
140108;0500;16,8667;
140108;0600;16,5083;
140108;0700;18,5417;
140108;0800;22,2917;
140108;0900;25,15;
140108;1000;26,9083;
140108;1100;27,3583;
140108;1200;27,825;
140108;1300;28,5833;
140108;1400;28,4167;
140108;1500;27,825;
140108;1600;26,7167;
140108;1700;25,5;
140108;1800;23,625;
140108;1900;21,6083;
140108;2000;19,6667;
140108;2100;18,5167;
140108;2200;17,4667;
140108;2300;16,725;
