FECHA (YYMMDD);HORA (HHMM);;
140101;0100;19,025;
140101;0200;17,9583;
140101;0300;17,1917;
140101;0400;16,6416;
140101;0500;16,4167;
140101;0600;15,925;
140101;0700;16,7417;
140101;0800;19,6583;
140101;0900;21,8333;
140101;1000;23,775;
140101;1100;25,9917;
140101;1200;28,1667;
140101;1300;29,05;
140101;1400;29,625;
140101;1500;30,2;
140101;1600;30,225;
140101;1700;29,725;
140101;1800;28,8667;
140101;1900;27,1417;
140101;2000;24,6083;
140101;2100;22,9167;
140101;2200;21,6083;
140101;2300;20,1583;
140102;0000;19,3083;
140102;0100;18,6417;
140102;0200;17,7833;
140102;0300;17,2;
140102;0400;16,5667;
140102;0500;16,7417;
140102;0600;16,6167;
140102;0700;16,0167;
140102;0800;17,9167;
140102;0900;20,1833;
140102;1000;22,2;
140102;1100;24,15;
140102;1200;27,0667;
140102;1300;28,025;
140102;1400;28,7917;
140102;1500;29,5833;
140102;1600;29,2083;
140102;1700;29,275;
140102;1800;28,5833;
140102;1900;27,475;
140102;2000;25,4167;
140102;2100;23,9333;
140102;2200;22,5917;
140102;2300;21,025;
140103;0000;19,7667;
140103;0100;19,1333;
140103;0200;18,45;
140103;0300;17,4583;
140103;0400;16,5583;
140103;0500;16,1666;
140103;0600;15,75;
140103;0700;16,825;
140103;0800;20,1417;
140103;0900;22,1083;
140103;1000;24,65;
140103;1100;27,3917;
140103;1200;29,4333;
140103;1300;31,35;
140103;1400;32,55;
140103;1500;33,25;
140103;1600;33,775;
140103;1700;33,6666;
140103;1800;32,9;
140103;1900;31,6833;
140103;2000;29,8833;
140103;2100;27,5167;
140103;2200;25,7917;
140103;2300;24,2333;
140104;0000;23,025;
140104;0100;21,6917;
140104;0200;20,725;
140104;0300;19,9167;
140104;0400;19,0417;
140104;0500;18,55;
140104;0600;18,1916;
140104;0700;20,1583;
140104;0800;23,7333;
140104;0900;26,7167;
140104;1000;29,9083;
140104;1100;31,9333;
140104;1200;33,5916;
140104;1300;35,0583;
140104;1400;35,7167;
140104;1500;35,3;
140104;1600;34,0833;
140104;1700;33,4083;
140104;1800;31,975;
140104;1900;30,2417;
140104;2000;28,125;
140104;2100;26,2;
140104;2200;24,925;
140104;2300;24,225;
140105;0000;22,8917;
140105;0100;22,2083;
140105;0200;21,725;
140105;0300;21,2667;
140105;0400;20,5083;
140105;0500;19,6833;
140105;0600;19,2917;
140105;0700;20,6917;
140105;0800;22,725;
140105;0900;24,2417;
140105;1000;25,8167;
140105;1100;27,5083;
140105;1200;28,275;
140105;1300;29,925;
140105;1400;31,1833;
140105;1500;31,7416;
140105;1600;31,8;
140105;1700;31,2083;
140105;1800;30,1083;
140105;1900;28,6917;
140105;2000;26,4417;
140105;2100;24,4583;
140105;2200;23,1833;
140105;2300;22,35;
140106;0000;21,8083;
140106;0100;21,1167;
140106;0200;20,475;
140106;0300;19,875;
140106;0400;19,55;
140106;0500;19,325;
140106;0600;18,6667;
140106;0700;19,8667;
140106;0800;22,325;
140106;0900;24,9667;
140106;1000;27,4083;
140106;1100;29,85;
140106;1200;31,25;
140106;1300;33,05;
140106;1400;33,7166;
140106;1500;34,175;
140106;1600;34,4;
140106;1700;33,7166;
140106;1800;32,6583;
140106;1900;31,0583;
140106;2000;29,25;
140106;2100;27,2667;
140106;2200;25,9667;
140106;2300;24,8667;
140107;0000;23,9833;
140107;0100;22,8;
140107;0200;21,725;
140107;0300;20,9083;
140107;0400;20,9833;
140107;0500;20,2333;
140107;0600;19,3917;
140107;0700;20,8667;
140107;0800;24,1583;
140107;0900;26,0083;
140107;1000;28,9;
140107;1100;31,6;
140107;1200;33;
140107;1300;34,8333;
140107;1400;35,3833;
140107;1500;36,0416;
140107;1600;35,55;
140107;1700;35,1778;
140107;1800;;
140107;1900;32,1916;
140107;2000;30,3333;
140107;2100;28,72;
140107;2200;;
140107;2300;;
140108;0000;;
140108;0100;;
140108;0200;;
140108;0300;;
140108;0400;;
140108;0500;;
140108;0600;;
140108;0700;;
140108;0800;;
140108;0900;;
140108;1000;28,1917;
140108;1100;30,0167;
140108;1200;30,35;
140108;1300;30,075;
140108;1400;29,65;
140108;1500;28,975;
140108;1600;27,75;
140108;1700;26,7;
140108;1800;25,2833;
140108;1900;24,0083;
140108;2000;22,175;
140108;2100;21,1667;
140108;2200;19,8583;
140108;2300;19,1833;
140109;0000;;
140109;0100;;
140109;0200;;
140109;0300;;
140109;0400;;
140109;0500;;
140109;0600;;
140109;0700;;
140109;0800;;
140109;0900;;
140109;1000;;
140109;1100;;
140109;1200;;
140109;1300;28,2917;
140109;1400;29,5917;
140109;1500;30,175;
140109;1600;30,5083;
140109;1700;30,325;
140109;1800;29,4583;
140109;1900;27,9333;
140109;2000;26,3;
140109;2100;24,6;
140109;2200;23,4417;
140109;2300;22,25;
140110;0000;21,5583;
140110;0100;20,7333;
140110;0200;19,9917;
140110;0300;18,9;
140110;0400;18,3333;
140110;0500;18,0917;
140110;0600;17,7167;
140110;0700;18,6333;
140110;0800;21,5;
140110;0900;23,85;
140110;1000;26,0083;
140110;1100;27,8;
140110;1200;29,625;
140110;1300;30,825;
140110;1400;32,425;
140110;1500;32,65;
140110;1600;;
