FECHA (YYMMDD);HORA (HHMM);;
140101;0100;15,5833;
140101;0200;15,2;
140101;0300;14,4083;
140101;0400;13,525;
140101;0500;12,8917;
140101;0600;12,4083;
140101;0700;15,2167;
140101;0800;19,425;
140101;0900;21,075;
140101;1000;23,6667;
140101;1100;26,0583;
140101;1200;27,4833;
140101;1300;28,2833;
140101;1400;28,65;
140101;1500;28,8917;
140101;1600;29,1833;
140101;1700;28,6417;
140101;1800;27,6917;
140101;1900;25,5833;
140101;2000;22,5917;
140101;2100;20,4167;
140101;2200;19,15;
140101;2300;17,775;
140102;0000;16,6333;
140102;0100;15,75;
140102;0200;15,2;
140102;0300;14,6833;
140102;0400;13,725;
140102;0500;13,5917;
140102;0600;13,3083;
140102;0700;13,425;
140102;0800;15,9583;
140102;0900;19,6083;
140102;1000;21,1833;
140102;1100;24,4417;
140102;1200;26,525;
140102;1300;26,8667;
140102;1400;27,7167;
140102;1500;28,1667;
140102;1600;28,375;
140102;1700;28,375;
140102;1800;27,675;
140102;1900;26,225;
140102;2000;24,2333;
140102;2100;21,8917;
140102;2200;19,9917;
140102;2300;18,5333;
140103;0000;17,4083;
140103;0100;16,775;
140103;0200;16,3333;
140103;0300;15,1333;
140103;0400;13,9833;
140103;0500;13,5583;
140103;0600;12,8333;
140103;0700;15,3333;
140103;0800;19,7167;
140103;0900;21,7417;
140103;1000;24,6083;
140103;1100;27,025;
140103;1200;29,275;
140103;1300;30,9583;
140103;1400;31,5333;
140103;1500;32,725;
140103;1600;33,225;
140103;1700;32,6083;
140103;1800;31,5333;
140103;1900;30,0333;
140103;2000;27,9083;
140103;2100;25,525;
140103;2200;23,9167;
140103;2300;21,5917;
140104;0000;19,9417;
140104;0100;18,6583;
140104;0200;17,7833;
140104;0300;16,3083;
140104;0400;15,5833;
140104;0500;15,5;
140104;0600;14,675;
140104;0700;18,05;
140104;0800;24,1333;
140104;0900;26,8417;
140104;1000;29,6583;
140104;1100;31,9166;
140104;1200;33,3166;
140104;1300;33,8583;
140104;1400;34,425;
140104;1500;33,6083;
140104;1600;32,9916;
140104;1700;32,2416;
140104;1800;31,2666;
140104;1900;29,0583;
140104;2000;26,45;
140104;2100;23,9917;
140104;2200;22,5167;
140104;2300;21,2833;
140105;0000;19,8583;
140105;0100;19,4167;
140105;0200;18,4417;
140105;0300;17,4333;
140105;0400;16,9083;
140105;0500;16,5417;
140105;0600;15,9333;
140105;0700;17,6416;
140105;0800;21,1583;
140105;0900;22,2667;
140105;1000;23,9583;
140105;1100;25,4083;
140105;1200;26,9917;
140105;1300;29,0083;
140105;1400;30,2;
140105;1500;30,4583;
140105;1600;30,9333;
140105;1700;30,275;
140105;1800;29,1333;
140105;1900;27,0583;
140105;2000;24,375;
140105;2100;21,75;
140105;2200;20,7333;
140105;2300;19,8333;
140106;0000;19,1083;
140106;0100;18,4833;
140106;0200;17,5667;
140106;0300;16,8167;
140106;0400;16,3;
140106;0500;16,0917;
140106;0600;15,475;
140106;0700;17,7833;
140106;0800;22,4917;
140106;0900;24,2833;
140106;1000;26,7917;
140106;1100;29,2417;
140106;1200;30,9333;
140106;1300;31,8833;
140106;1400;32,7583;
140106;1500;33,5416;
140106;1600;33,3166;
140106;1700;32,6083;
140106;1800;31,0917;
140106;1900;28,9667;
140106;2000;26,9333;
140106;2100;24,6083;
140106;2200;23,075;
140106;2300;21,6583;
140107;0000;20,1083;
140107;0100;19,0416;
140107;0200;18,0417;
140107;0300;17,2167;
140107;0400;16,775;
140107;0500;16,3333;
140107;0600;15,9667;
140107;0700;18,6333;
140107;0800;22,7;
140107;0900;25,7333;
140107;1000;28,1;
140107;1100;30,8917;
140107;1200;32,9416;
140107;1300;34,1916;
140107;1400;34,5333;
140107;1500;35,125;
140107;1600;35,1083;
140107;1700;34,6917;
140107;1800;33,35;
140107;1900;31,375;
140107;2000;28,7333;
140107;2100;26,3083;
140107;2200;24,4333;
140107;2300;23,125;
140108;0000;20,9667;
140108;0100;19,6667;
140108;0200;18,4;
140108;0300;17,5083;
140108;0400;17,1667;
140108;0500;16,35;
140108;0600;15,9083;
140108;0700;18,5;
140108;0800;23,5417;
140108;0900;26,2333;
140108;1000;28,0083;
140108;1100;28,8667;
140108;1200;28,6333;
140108;1300;28,3333;
140108;1400;28,225;
140108;1500;26,9667;
140108;1600;25,85;
140108;1700;24,5917;
140108;1800;23,3182;
140108;1900;21,7667;
140108;2000;19,8333;
140108;2100;18,45;
140108;2200;17,2667;
140108;2300;16,575;
140109;0000;15,8;
140109;0100;15,375;
140109;0200;15,1833;
140109;0300;14,7583;
140109;0400;14,2167;
140109;0500;13,8667;
140109;0600;13,45;
140109;0700;14,4833;
140109;0800;17,7333;
140109;0900;19,7083;
140109;1000;21,6167;
140109;1100;23,4833;
140109;1200;25,0917;
140109;1300;26,8583;
140109;1400;27,95;
140109;1500;28,9667;
140109;1600;29,3917;
140109;1700;29,2583;
140109;1800;28,175;
140109;1900;26,4583;
140109;2000;24,3917;
140109;2100;22,3167;
140109;2200;20,7667;
140109;2300;19,7583;
140110;0000;18,6167;
140110;0100;17,6833;
140110;0200;16,9;
140110;0300;15,7;
140110;0400;15,3917;
140110;0500;14,7917;
140110;0600;14,2417;
140110;0700;15,8;
140110;0800;21,2083;
140110;0900;23,6167;
140110;1000;25,875;
140110;1100;27,3583;
140110;1200;28,875;
140110;1300;29,9417;
140110;1400;30,6833;
140110;1500;31,875;
140110;1600;31,925;
140110;1700;31,6;
140110;1800;30,475;
140110;1900;28,6333;
140110;2000;25,1167;
140110;2100;22,1917;
140110;2200;20,8833;
140110;2300;20,075;
140111;0000;19,6417;
140111;0100;18,275;
140111;0200;17,2167;
140111;0300;16,35;
140111;0400;15,575;
140111;0500;15,4333;
140111;0600;14,8583;
140111;0700;17,6;
140111;0800;22,825;
140111;0900;25,5833;
140111;1000;27,625;
140111;1100;29,95;
140111;1200;31,9;
140111;1300;34,4416;
140111;1400;34,9333;
140111;1500;35,4083;
140111;1600;35,0166;
140111;1700;33,425;
140111;1800;31,5917;
140111;1900;28,975;
140111;2000;25,6333;
140111;2100;23,4417;
140111;2200;21,9833;
140111;2300;20,9417;
140112;0000;19,3083;
140112;0100;18,2167;
140112;0200;17,4;
140112;0300;16,475;
140112;0400;15,4583;
140112;0500;15,275;
140112;0600;15,0417;
140112;0700;16,775;
140112;0800;21,3;
140112;0900;24,775;
140112;1000;28,8167;
140112;1100;30,7333;
140112;1200;32,4416;
140112;1300;33,225;
140112;1400;33,6083;
140112;1500;32,625;
140112;1600;31,1667;
140112;1700;29,025;
140112;1800;27,225;
140112;1900;25,8083;
140112;2000;23,5667;
140112;2100;20,8083;
140112;2200;19,4667;
140112;2300;18,9167;
140113;0000;17,6333;
140113;0100;15,875;
140113;0200;15,025;
140113;0300;14,3083;
140113;0400;13,7917;
140113;0500;13,5333;
140113;0600;13,05;
140113;0700;14,0167;
140113;0800;16,4667;
140113;0900;18,7333;
140113;1000;20,125;
140113;1100;22,4333;
140113;1200;24,7;
140113;1300;26,1083;
140113;1400;26,8417;
140113;1500;27,4083;
140113;1600;27,6583;
140113;1700;27,9167;
140113;1800;27,5417;
140113;1900;25,9416;
140113;2000;22,5083;
140113;2100;20,2583;
140113;2200;19,1667;
140113;2300;18,1917;
140114;0000;17,4;
140114;0100;16,7;
140114;0200;16,25;
140114;0300;15,85;
140114;0400;15,4417;
140114;0500;15,2667;
140114;0600;15,1167;
140114;0700;16,4;
140114;0800;20,3333;
140114;0900;22,2583;
140114;1000;26,2417;
140114;1100;28,1333;
140114;1200;29,1833;
140114;1300;29,8417;
140114;1400;31,3333;
140114;1500;31,9583;
140114;1600;31,775;
140114;1700;30,3417;
140114;1800;28,7667;
140114;1900;27,15;
140114;2000;25,9583;
140114;2100;23,7667;
140114;2200;22,3583;
140114;2300;21,6167;
140115;0000;20,7667;
140115;0100;19,8083;
140115;0200;19,3083;
140115;0300;18,6833;
140115;0400;18,2583;
140115;0500;17,9667;
140115;0600;17,5333;
140115;0700;19,3667;
140115;0800;23,9333;
140115;0900;26,4583;
140115;1000;27,4917;
140115;1100;29,05;
140115;1200;30,325;
140115;1300;31,3583;
140115;1400;31,775;
140115;1500;31,6917;
140115;1600;31,775;
140115;1700;31,3;
140115;1800;29,9;
140115;1900;28,1083;
140115;2000;25,65;
140115;2100;23,55;
140115;2200;22,0667;
140115;2300;20,875;
140116;0000;19,7167;
140116;0100;18,6083;
140116;0200;17,8833;
140116;0300;17,2;
140116;0400;16,8;
140116;0500;15,8917;
140116;0600;15,2917;
140116;0700;15,7333;
140116;0800;19,1083;
140116;0900;21,6583;
140116;1000;22,9167;
140116;1100;24,9;
140116;1200;26,9167;
140116;1300;28,3833;
140116;1400;29,4583;
140116;1500;30,4417;
140116;1600;30,9833;
140116;1700;30,2083;
140116;1800;28,5083;
140116;1900;27,1083;
140116;2000;24,8333;
140116;2100;22,65;
140116;2200;20,925;
140116;2300;19,8917;
140117;0000;18,9917;
140117;0100;17,9833;
140117;0200;17,1833;
140117;0300;16,9167;
140117;0400;16,6833;
140117;0500;16,2167;
140117;0600;15,875;
140117;0700;16,875;
140117;0800;19,575;
